ImageFile,OCRText,NumLines,NumContours,NumRectangles,NumCorners,NumTextAreas,p.label,Label
processed_1. MCM Canopy SOW_page_1.png,"miami childrens museum  entry walkway activation 980 macarthur causeway, miami, fl scope of work outline for renovation december 9, 2020 5 museu ging  cresi cciomi chillelng grey the following outlines the scope of work required for the entry walkway activation project for miami childrens museum. the following outlines the scope for the activities required for the project and is intended to supplement the drawings and specifications provided. item  activity mardan perfection by by by by comments  fabrications  architectural gc mcm davis  big piano electric 1 remove and clean existing pavers  store on site x 2 remove existing ground up-lighting in circular x planters as shown on demolition plan. make safe all power wiring. return to mcm for final disposition 3 provide temporary protection/fence along perimeter x of construction area 4 excavate, form and pour foundations for canopy x see perfection architectural shop system drawings 5 excavate, form and pour foundation and slab for x see mardan fabrications shop guard house drawings 6 excavate, form and pour foundations for musical x see freenotes harmony park instruments instrument installation details 7 excavate, form and pour foundations and basin for x see big piano drawings fountain 8 remove existing landscaping in circular planters x see demolition plan 9 excavate, form and pour foundations for k-rated x see spherical bollard installation bollards along bus lane details 10 furnish and install k-rated bollards  2 sizes x 2-0 dia. and 1-6 dia. alternating, see plan for locations 11 furnish guard house x x order placed waiting on shop drawings ",419,1230,89,206125,1140,Construction Sheet,Code/Spec Sheet
processed_1. MCM Canopy SOW_page_2.png,"miami childrens museum scope of work outline entry walkway activation december 9, 2020 v.02 item  activity mardan perfection by by by by comments  fabrications  architectural gc mcm davis  big piano electric 12 unload and install guard house x 13 furnish and install canopy system x shop drawings received and being reviewed along with color selections 14 furnish musical instruments x order placed with freenotes harmony park 15 unload, assemble and install musical instruments x see freenotes installation instructions 16 furnish and install plumbing/drainage for fountain. x connect into existing site drainage system 17 furnish and install plumbing for irrigation to new x planters 18 x location plan provided 19 . provide x location plan provided aluminum landscape edging at perimeter of sodded area 20 furnish new raised planter boxes with self-irrigating x attachment 21 place and landscape new planter boxes x planter box selected but not ordered 22 furnish and install power to guard house and canopy x lighting 23 furnish and install communications cabling to guard x house 24 furnish and install power to fountain x 25 furnish and install fountain components and x controls 26 patch loading area asphalt cut to install power and x plumbing distribution 27 survey and stake canopy, guard house, fountain, k- x tated bollards and musical instrument locations 28  commission fountain x 29 signed and sealed structural drawings for fountain x waiting on final drawings. big piano foundations and basin cds ",362,1068,100,185065,970,Construction Sheet,Code/Spec Sheet
processed_1. MCM Canopy SOW_page_3.png,"miami childrens museum scope of work outline entry walkway activation december 9, 2020 v.02 item  activity mardan perfection by by by by comments  fabrications  architectural gc mcm davis  big piano electric 30 complete power and control wiring drawings with x waiting on final drawings. big piano equipment cuts for coordination cds 31 signed and sealed structural drawings for canopy x see bala consulting cds foundations and guard house foundations/sog 32 re-set pavers removed for construction activities as x required to conform to new entry walkway layout 33 furnish and install safety surfacing materials at x see plan for extent of work per locations of musical instrument. this includes location subsurface prep required to receive materials surface america playbound poured in place rubber with extreme 10 aliphatic binder 34 relocate existing yard drains to accommodate new x see demolition plan canopy foundations 35 relocate crossing drainage piping interfering with x see drawing c3.01 new canopy foundations 36 have all utilities marked out prior to start of work x 37 relocate snail sculpture to location shown on plans x 38 remove butterfly sculpture in landscaped area and x install induvial butterflys on to the cooling tower enclosure. provide support on interior side of enclosure to support butterflys. 39 furnish and install a temporary roadway as shown x on drawings 40 furnish and install a gate within the existing cyclone x fence line at entrance to temporary roadway. gate shall be capable of locking when not in use for vehicular traffic 41 provide protection for the sundial mosaic in walkway x during construction 42 receive and assemble new site furnishings x 43 sawcut and trench loading dock asphalt as required x to accommodate installation of electrical conduit ",441,1426,124,220770,1291,Construction Sheet,Code/Spec Sheet
processed_1. MCM Canopy SOW_page_4.png,"miami childrens museum scope of work outline entry walkway activation december 9, 2020 v.02 item  activity mardan perfection by by by by comments  fabrications  architectural gc mcm davis  big piano electric 44  sawcut and trench loading dock asphalt as required x to accommodate installation of underground plumbing 45 provide expedited permit review and special x x x inspections throughout duration of project as required by miami-dade ",134,415,36,59472,389,Construction Sheet,Code/Spec Sheet
processed_2. MCM Canopy Construction Set_page_1.png,"120106723.dwg design notes: walkway covers  12/16/2020 2:29:34 pm luis m. carballosa {4 jj } {  4  section: 10530. perfection cafe canopy  1) ae eed md 1, design, fabrication and erection of walkway cover architectural syeteme, llc l ie) ie components shall be in accordance with the following an avadek company  c at po unless noted: 2310 mercator drive  i aluminum... specifications for orlando, fl - 32807  oo aluminum structures 407-671-6225 --t-- i a ae 7 asce 7-10  fbc 2017 800-238-7207  2. material shall meet the requirements of the following wow, perfectionarch.com ! t { specification, unless noted: -concrete...aci-318-14 project name \ location: oe { building code . -- 1 i - requirements for reinforced concrete: 28 day miami childrens museum ee il -1-  -compressive strength of 3000 p.s.i. -extruded  aluminum... alloy 6063-16 alum. filler metal...er 5356 --- oe  ee ae aluminum magnesium alloy, unless noted otherwise. fo et ey ee en  rr  3. foundations shall be as shown on ' sheet on the contract documents.   ! design load: project  120106723 /t1 2-1020-006 2w  '  live load... 30 psf engineer as -   wind speed.  186 mph (ult) oo en lees i risk categ tm vem  exposure type.. d (kk) oo ti 7 4, design loads derived from and applied to those sus once  procedures found inthe asce 7-10 with criteria for () ee tt cane  stability we --/b bse 5, all fasteners are to be 304 stainless (my) / yee l steel,  .  7 ece   6. field verify all measurements, and () te ts - f sey} ama coven verify all elevations, ee ae as 7. drainage must include a 1-1/2"" dia. (9) .  opening (1.77 square inches) for each ' saxon 100 sq. ft. of cover, minimum. u.n.o. (p) oe p i 8, post denoted by"" "" are drain posts exiting playoround  see typical drain post detail, grout all drain post.  ee peep . ee  9. upon completion - these walkway cen ete  covers are to be cleaned of surface blemishes, debris, mcnamara- salvia dust and scratches (marks). this shall include all structural engineers z nar ate  columns, bents, fascias, underside and topside of (ry tt rae spb re re pre eer the decking. ones { ss ss ss   oy) 10. keyhole post to grout....(2) 1-1/2"" holes u.n.o. asia gun di 7 7 ' a ss in tee 11, insulate post from concrete with clear acrylic sealant. no. date revision  now 12, drill 1/4"" weep hole in all non-drain posts, walkway area; 3,074 sq. feet suspended area: sq. feet sunshade area: sq. feet ste 7p trellis area: sq. feet is st total area: 3,074 sq. feet general notes item size alloy/ ga finish color contractor co in order to maintain symmetry and balanced esthetic the deck sxex.080 6063-76 204-1 anodized clear block outs list ne vee ster 4, site 8102 corrugated decking canopy roof, must start and end fascia 63"" extruded 6063-16 204-r1 anodized clear 50 n radnor chester rd, site with a pan section, column 6x12x.250"" post 6005a-t61 204-r1 anodized clear post type size ary radnor pa 19087 as a result the canopy width must be x'-6"". please contact size . (610}896 8100 perfection architectural system ,llc. at 800-238-7207 if beam 6""k10.188""/.250"" 6005a-t61 204-r1 anodized clear cont.fax you have further questions. 6""x12""  blockout std. 12""x18""x24"" 32 7 architect oo all bents with beams and columns exceeding 10'-00"" in arquitectonica length will require the columns to be mechanically a total 32 2900 oak avenue fastened to the beams for shipping purposes. 0 arrow denotes drain (typ) and direction. miami, florida 33131 (305)372-1812 above the ground  archfax 2 all dimensions to be field verified, 2 canopy shall not receive any drainage from the 2 all reactions are based on allowable stress design 1w ",870,1713,184,574702,1578,Construction Sheet,Code/Spec Sheet
processed_2. MCM Canopy Construction Set_page_2.png,"120106723.dwg 12/16/2020 2:29:34 pm luis m. carballosa  \ \ perfection architectural systems, llc an avadek company 2310 mercator drive orlando, fl - 32807 407-671-6225 800-238-7207 www. perfectionarch.com project name \ location: miami childrens museum 980 macarthur causeway miami, fl 33132  project  120106723 /tl 2-1020-006 engineer oe   q) mcnamara-salvia structural engineers no. date revision by 190-1 7/8"" vale. /\\, 12/9/2020 per contractor review  lc ma) ""4 rat fountain} f' bo. zn plan notes cororoioioo goce  -  - - - - - - - - - - - - - 4 - - -- nm i ing playground walkway area:  3,074 sq. feet mn c) suspended area: sq. feet y al eu \ ry t sunshade area: sq. feet ee  : 3  trellis area: sq. feet - - - - - - - - - - - - re 7 - - k -fr4 - -  -   - z  - -  - total area: 3,074 sq. feet  j : pacha 3 7 vans try il ter  [contractor et li  pr northstar museums )  150 n radnor chester rd, site b102  tike -  - -  \ 1 5  op of  : f  - radnor, pa 19087 1246 5/8""    [9 cad ! a ay [eo (610}896 8100  i il-3 o- g pid 12-8 cont.fax - - - z    on   oe   oe  curb line  architect ay arquitectonica ) (2) (3) (4) (5) (8) ax 2900 oak avenue miami, florida 33131 (305)372-1812 archfax drawn by: lc checked by: es/jc ew) date: 11/3/2020 scale: as noted: anopy a plan l ow ",536,57,9,356284,55,Construction Sheet,Construction Sheet
processed_2. MCM Canopy Construction Set_page_3.png,"120106723.dwg 12/16/2020 2:29:34 pm luis m. carballosa 86"" 4 perfection architectural systems, llc an avadek company 3 tw 129 arrow denotes drain {typ}  direction 6k12""x,250"" ee column 12-9"" 3x6""x.080"" decking a\ 12-9"" 6x10""x.188/,250"" beam 68 fascia   reference line 12. arrow denot drain {typ}  direction 11-4 7/8""  tt reference line 2310 mercator drive orlando, fl - 32807 407-671-6225 800-238-7207 www, perfectionarch.com project name \ location: miami childrens museum 980 macarthur causeway miami, fl 33132 project  120106723 /tl  2-1020-006 3x6""x.080"" decking 10-9 3/16 11-4 13/16"" 11-11 3/8"" co) 9-7 3j4"" 116"" engineer mcnamara-salvia structural engineers no, date revision by ale"" t1ine 5-2 1/4"" 11-8 3/16"" 10-2 7/16"" 1-6 7/18"" 13/4"" canopy ai plan canopy a2plan ) scale: 3/32  1-0"" /\\, 12/9/2020 per contractor review  lc plan notes walkway area: 3,074 sq. feet suspended area; sq. feet sunshade area:  sq. feet trellis area: sq. feet total area: 3,074 sq. feet contractor northstar museums 150 n radnor chester rd, site b102 radnor, pa 19087 (610}896 8100 cont.fax architect arquitectonica 2900 oak avenue miami, florida 33131 (305}372-1812 archfax drawn by: lc ",671,59,8,326464,57,Construction Sheet,Construction Sheet
processed_2. MCM Canopy Construction Set_page_4.png,"10-3 5/8"" 10'-6 1/2 10-10 7/8"" ae 11-5 13/] r arrow denotes drain (typ)  direction ye 10-11 3/8"" wa  3-8 9/16""  11-6 1/8"" 113/16"" bp eascia 10 5/16"" po pnew 11-11 15/16"" 1 7-9 5/8 , r 6k12""x,250"" column t io [e) 1/5w 1-6 7/186"" ne 11-7 5/8"" c p19 ye""    canopy a3plan 6'k10""x,188/.250"" beam [a 0-1"" a 9-10 5/8"" ! 12"" 3x6""x.080"" decking  curb line by others )  4 perfection architectural systems, llc an avadek company 2310 mercator drive orlando, fl - 32807 407-671-6225 800-238-7207 www. perfectionarch.com project name \ location: miami childrens museum 980 macarthur causeway miami, fl 33132 project  120106723 engineer /1l  2-1020-006 scale: 3/32""  1 12/16/2020 2:29:34 pm  - 120106723.dwg luis m. carballosa 3x6""x.060"" decking r centerline of columns to be 12'-8"" off of curb line ; 6""x10""x,188/.250"" beam rrow denotes r 6""x12""x.250"" column irection hy fascia  be 12'-0"" 12-0"" 120 12-0"" 12-0"" 12'-0"" curb line by others  12'-0"" canopy a4plan (qty mcnamara:salvia structural engineers 20 north orange avenue suite  100 jortando, fl 32801  407.955.5992, /mesal com - fl ca 26616 ea. ezghyar phd, pepe 709 no. date revision by plan notes walkway area: suspended area: sunshade area: trellis area: total area: contractor northstar museums 150 n radnor chester rd, site b102 radnor, pa 19087 (610}896 8100 cont.fax 3,074 sq. feet sq. feet sq. feet sq. feet 3,074 sq. feet architect arquitectonica 2900 oak avenue miami, florida 33131 (305)372-1812 archfax drawn by: lc checked by: es/jc date: 11/3/2020 scale: as noted sheet 4w scale: 1/8""  1 t oe 4 of 6 ",476,2823,285,354208,2287,Construction Sheet,Construction Sheet
processed_2. MCM Canopy Construction Set_page_5.png,"120106723.dwg 12/16/2020 2:29:34 pm luis m. carballosa section 1 3x6""x.080"" decking w/  14x1"" s/s tek screw w/ neo washer (2) per pan 6"" fascia 10"" 6'x10'.188""/.250"" drain beam  concealed connection: 1/2"" alum, full plate w/ 1/2"" s/s bolts (4) per plate. ref: detail 1/6w 6'x12""x.250"" column sana  on vif. ke en hy grout all to drainage outlet (2) o11"" key 18"" holes [typ.]  19"" sidewalk by others 12""x18""k24"" blockout concrete footings {designed by perfection, installed byg.c} 24"" blockout so   te 6-4'x4'-0"" 6-4"" {8) 6 rebar long way {12}6 rebar short way each way,top and bottom  perfection architectural systems, llc an avadek company 2310 mercator drive orlando, fl - 32807 407-671-6225 800-238-7207 www. perfectionarch.com project name \ location: miami childrens museum 980 macarthur causeway miami, fl 33132 project  120106723 /tl  2-1020-006 canopy a1,a2,a3,a4 scale: 3/8  1'-0"" engineer mcnamara-salvia structural engineers no. date revision plan notes walkway area: -3,074 sq. feet suspended area; sq. feet sunshade area: sq. feet trellis area: sq. feet total area: 3,074 sq. feet contractor northstar museums 150 n radnor chester rd, site b102 radnor, pa 19087 (610}896 8100 cont.fax architect arquitectonica 2900 oak avenue miami, florida 33131 (305}372-1812 archfax checked by: es/jc  oar: ao 11/3/2020 scale: as noted: sore  sw ",242,56,8,162727,55,Construction Sheet,Construction Sheet
processed_2. MCM Canopy Construction Set_page_6.png," perfection architectural systems, llc an avadek company 2310 mercator drive orlando, fl - 32807 v 10"" y 407-671-6225 800-238-7207 www. perfectionarch.com 1"" project name \ location: (7 ) miami childrens museum 980 macarthur causeway miami, fl 33132 p  s ve project 120106723 /tl 2-1020-006 engineer  ) l(4y9/16"" holes r  3x.125 (2.750 idjround alum, tube 1/2"" alum, full plate ok12""k.250"" column mcnamara-salvia detail 1 structural engineers section 1 scar 3  1-0"" 120106723.dwg 12/16/2020 2:29:34 pm luis m. carballosa no, date revision plan notes walkway area: -3,074 sq. feet suspended area; sq. feet sunshade area:  sq. feet trellis area: sq. feet total area: 3,074 sq. feet contractor northstar museums 150 n radnor chester rd, site b102 radnor, pa 19087 (610}896 8100 cont.fax architect arquitectonica 2900 oak avenue miami, florida 33131 (305}372-1812 archfax drawn by: lc checked by: es/jc date: 11/3/2020 scale: as noted: sheet 6 of 6ww ",132,570,53,115985,552,Construction Sheet,Construction Sheet
